subject,predicate,object,category,knowledge_level,agent_type,primary_knowledge_source,gene_expr
CL:0000875,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001131,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0002201,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0011031,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000850,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000650,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000786,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000814,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000412,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000692,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000850,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001005,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030009,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030013,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030009,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030011,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030022,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000084,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000715,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001108,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030012,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000648,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000775,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000990,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001318,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030009,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030010,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030016,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
NCIT:descending-vasa-recta-endothelial,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000650,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000692,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000718,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001109,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
NCIT:peritubular-capilary-endothelial,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000786,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030009,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030012,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000084,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000648,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000775,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0001058,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001131,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030018,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030022,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
NCIT:peritubular-capilary-endothelial,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0001058,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000714,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001108,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001131,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030012,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
NCIT:peritubular-capilary-endothelial,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000236,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000775,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0002138,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0002201,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0002573,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030009,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030010,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000875,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0001058,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000412,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000768,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030013,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
NCIT:peritubular-capilary-endothelial,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0011031,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001107,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030010,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030018,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030022,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000084,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000692,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001131,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030017,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030022,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000097,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000890,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001108,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001109,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030010,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000786,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0002573,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000692,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000718,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001107,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000097,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000890,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000412,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000692,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030017,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030020,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030022,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000236,biolink:located_in,UBERON:0004200,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
